CODE_RPU,SUBSTITUTION
S060,S0600
M796,M7969
R520,R529
A09,A090
M545,M5456
F100,F1000
S836,S830
Z028,Z022
S525,S5250
T149,T140
R53,R53+1
H669,H660
J039,H605
H103,H100
W199,W199
M544,M5446
M791,M7919
J180,J189
S626,S6260
M542,M5422
M779,M7799
M543,M5437
T119,T220
R002,R000
S01,S010
H609,H605
J31,J310
M5459,M5456
R10,R100
N12,N10
T131,S910
W570,T634
S623,S6230
J038,J069
H109,H100
T159,T150
J03,J00
J21,J210
M7966,M7969
Z538,Z539
R688,R681
N110,N10
J45,J459
S637,S636
T111,S610
M795,M7959
J451,J459
S628,S6280
H659,H650
J300,J301
J181,J189
J02,J020
M255,M2551
M7967,M7969
M546,M5464
